"startDate","endDate","finished","hltref","gaymarry","gayadopt","abrtch","abrthlth","abrtinc","abrtbd","abrtrpe","abrtdth","abrtfin","fedenv","fedwlf","fedpoor","fedschool","drill","gwhap","gwhow","gwhow2","aauni","aawork","gun","comm","pref","pref2","self_eg1","can_eg1_1","can_eg1_2","can_eg2_1","can_eg2_2","self_eg2","age","sex","edu","comment","tcompl","validated","group"
2014-11-18 10:01:23,2014-11-18 10:04:27,"1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","","2","2","1","3","1","",25,14,NA,NA,NA,NA,"30","1","3","",3.06666666666667,TRUE,1
2014-11-18 10:00:18,2014-11-18 10:05:03,"1","1","1","1","1","1","1","1","1","1","1","2","2","2","1","3","1","3","","3","3","1","3","1","",20,10,NA,NA,NA,NA,"39","2","3","",4.75,TRUE,1
2014-11-18 10:00:00,2014-11-18 10:06:54,"1","3","3","2","1","1","1","1","1","1","1","1","1","1","2","3","1","1","","3","3","1","5","1","",NA,NA,NA,53,NA,50,"49","2","5","good",6.9,TRUE,2
2014-11-18 10:05:25,2014-11-18 10:07:42,"1","3","1","1","1","1","1","1","1","1","1","2","1","1","2","3","1","3","","3","3","3","3","3","Independent",50,NA,50,NA,NA,NA,"25","1","3","none",2.28333333333333,TRUE,1
2014-11-18 10:03:53,2014-11-18 10:08:24,"1","2","1","1","1","1","1","1","1","1","1","2","3","2","1","3","1","1","","2","2","3","5","2","",NA,NA,NA,75,NA,65,"24","1","4","",4.51666666666667,TRUE,2
2014-11-18 10:06:16,2014-11-18 10:08:26,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","","3","3","1","1","1","",NA,NA,NA,0,NA,0,"26","2","3","",2.16666666666667,TRUE,2
2014-11-18 10:01:51,2014-11-18 10:08:47,"1","2","1","1","3","3","1","1","1","1","1","2","2","1","1","2","1","2","","3","3","3","6","2","",77,89,NA,NA,NA,NA,"69","2","3","Thank you",6.93333333333333,TRUE,1
2014-11-18 10:05:28,2014-11-18 10:08:50,"1","2","1","1","1","1","1","1","1","1","1","2","3","3","2","1","1","1","","2","2","3","7","3","Libertarian",NA,NA,NA,NA,50,50,"38","1","3","",3.36666666666667,TRUE,2
2014-11-18 10:05:31,2014-11-18 10:08:52,"1","3","1","1","1","2","1","1","1","1","1","1","1","1","1","3","1","1","","1","1","1","3","1","",13,55,NA,NA,NA,NA,"24","2","4","no",3.35,TRUE,1
2014-11-18 10:07:25,2014-11-18 10:10:26,"1","3","1","1","1","1","1","1","1","1","1","3","1","1","1","1","2","","2","3","3","1","2","1","",43,3,NA,NA,NA,NA,"36","2","2","None, thank you",3.01666666666667,TRUE,1
2014-11-18 10:07:13,2014-11-18 10:11:21,"1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","2","1","1","","3","1","1","3","1","",NA,NA,NA,19,NA,23,"37","1","4","worked well",4.13333333333333,TRUE,2
2014-11-18 10:08:51,2014-11-18 10:11:35,"1","2","1","1","1","1","1","3","1","1","1","1","3","3","2","1","1","3","","3","3","3","4","3","LIbs",53,NA,40,NA,NA,NA,"21","1","3","",2.73333333333333,TRUE,1
2014-11-18 10:06:38,2014-11-18 10:13:30,"1","2","2","1","1","1","1","1","1","1","1","2","3","3","3","1","2","","2","2","2","3","7","2","",NA,NA,NA,80,NA,65,"52","1","3","The first question loops back to the beginning and repeats. Other than that, no problems.",6.86666666666667,TRUE,2
2014-11-18 10:06:32,2014-11-18 10:13:57,"1","1","1","1","1","1","1","1","1","1","1","2","2","2","1","3","1","3","","3","3","3","4","3","Libertarian",50,NA,50,NA,NA,NA,"24","2","3","",7.41666666666667,TRUE,1
2014-11-18 10:11:52,2014-11-18 10:14:10,"1","2","1","1","1","1","1","1","1","1","1","1","3","3","1","2","1","1","","2","2","3","7","3","unaffiliated",46,NA,50,NA,NA,NA,"24","1","4","",2.3,TRUE,1
2014-11-18 10:11:15,2014-11-18 10:14:21,"1","2","2","1","1","1","3","1","1","1","3","2","3","3","1","1","1","3","","2","2","3","6","3","Libertarian",NA,NA,NA,NA,60,65,"44","1","4","Thank you.",3.1,TRUE,2
2014-11-18 10:10:31,2014-11-18 10:14:28,"1","1","1","1","1","3","2","2","2","2","1","1","1","1","1","2","1","1","","1","1","1","3","1","",NA,NA,NA,65,NA,35,"33","1","4","None",3.95,TRUE,2
2014-11-18 10:13:26,2014-11-18 10:16:06,"1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","1","3","","2","2","2","4","1","",24,7,NA,NA,NA,NA,"42","1","3","",2.66666666666667,TRUE,1
2014-11-18 10:12:38,2014-11-18 10:16:16,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","3","","1","1","1","2","1","",NA,NA,NA,38,NA,7,"32","2","3","",3.63333333333333,TRUE,2
2014-11-18 10:13:02,2014-11-18 10:16:21,"1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","1","3","","2","2","2","3","3","Independent",NA,NA,NA,NA,50,50,"44","1","4","",3.31666666666667,TRUE,2
2014-11-18 10:12:53,2014-11-18 10:16:41,"1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","","3","3","1","2","1","",17,37,NA,NA,NA,NA,"26","1","3","",3.8,TRUE,1
2014-11-18 10:13:58,2014-11-18 10:16:47,"1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","3","","2","2","1","2","3","none",50,NA,50,NA,NA,NA,"21","1","2","No comments, thanks!",2.81666666666667,TRUE,1
2014-11-18 10:14:35,2014-11-18 10:17:11,"1","1","3","2","2","2","2","2","2","1","2","2","2","2","1","3","1","3","","3","3","1","3","1","",NA,NA,NA,35,NA,35,"38","1","4","",2.6,TRUE,2
2014-11-18 10:15:11,2014-11-18 10:17:29,"1","3","1","1","1","1","1","1","1","1","1","1","2","2","1","2","1","1","","3","3","1","3","1","",8,48,NA,NA,NA,NA,"35","2","3","",2.3,TRUE,1
2014-11-18 10:09:14,2014-11-18 10:18:51,"1","1","1","1","3","3","1","1","1","1","3","1","3","3","1","2","1","1","","3","2","1","5","1","",NA,NA,NA,20,NA,22,"28","1","4","",9.61666666666667,TRUE,2
2014-11-18 10:15:12,2014-11-18 10:19:47,"1","1","1","1","1","1","1","1","1","1","1","2","3","1","1","1","1","1","","2","2","3","5","2","",NA,NA,NA,85,NA,60,"30","1","4","",4.58333333333333,TRUE,2
2014-11-18 10:14:59,2014-11-18 10:19:50,"1","3","1","1","1","1","1","1","1","1","1","1","2","2","2","3","1","1","","3","3","1","4","1","",25,39,NA,NA,NA,NA,"27","1","3","",4.85,TRUE,1
2014-11-18 10:17:57,2014-11-18 10:21:10,"1","1","1","1","1","1","1","3","1","1","3","1","1","1","1","2","1","1","","3","3","3","1","3","green",17,NA,18,NA,NA,NA,"38","2","4","",3.21666666666667,TRUE,1
2014-11-18 10:15:13,2014-11-18 10:22:13,"1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","3","1","2","","2","1","1","2","1","",NA,NA,NA,30,NA,33,"27","2","4","Thanks!",7,TRUE,2
2014-11-18 10:19:54,2014-11-18 10:23:15,"1","2","1","1","2","2","1","2","3","1","2","2","3","3","1","1","1","3","","2","2","3","7","2","",60,100,NA,NA,NA,NA,"30","2","4","None",3.35,TRUE,1
2014-11-18 10:20:12,2014-11-18 10:24:10,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","","1","1","1","1","1","",NA,NA,NA,33,NA,0,"31","1","4","I have no comments about this study.",3.96666666666667,TRUE,2
2014-11-18 10:20:59,2014-11-18 10:24:48,"1","2","2","1","3","3","3","1","1","1","1","3","3","3","3","1","1","3","","2","2","2","7","2","",NA,NA,NA,57,NA,100,"24","1","3","",3.81666666666667,TRUE,2
2014-11-18 10:22:22,2014-11-18 10:25:59,"1","1","2","2","1","3","1","1","1","1","3","2","2","2","1","3","1","1","","3","1","1","4","2","",51,33,NA,NA,NA,NA,"44","1","2","",3.61666666666667,TRUE,1
2014-11-18 10:26:12,2014-11-18 10:29:23,"1","2","1","1","1","1","1","1","1","1","3","3","3","3","3","3","1","3","","3","3","2","7","3","Anarcho-capitalism",50,NA,50,NA,NA,NA,"29","1","4","",3.18333333333333,TRUE,1
2014-11-18 10:30:07,2014-11-18 10:33:32,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","","1","1","1","2","1","",NA,NA,NA,13,NA,15,"37","1","3","thanks",3.41666666666667,TRUE,2
2014-11-18 10:27:34,2014-11-18 10:34:35,"1","3","1","1","1","1","1","1","1","1","1","1","1","1","2","3","1","1","","2","2","1","4","1","",31,21,NA,NA,NA,NA,"33","2","4","",7.01666666666667,TRUE,1
2014-11-18 10:34:42,2014-11-18 10:40:03,"1","3","1","1","3","1","1","3","1","1","2","1","2","1","1","3","1","3","","3","1","1","3","3","No real prefrence if I had to choose then independent .",NA,NA,NA,NA,50,50,"33","1","3","No comments.",5.35,TRUE,2
2014-11-18 10:39:11,2014-11-18 10:43:54,"1","1","1","1","1","1","3","3","3","3","3","1","2","1","1","3","1","3","","3","3","1","3","1","",23,21,NA,NA,NA,NA,"24","2","4","No, not at this time. Thank you",4.71666666666667,TRUE,1
2014-11-18 10:56:10,2014-11-18 10:59:41,"1","1","1","1","2","3","3","3","3","1","2","1","2","2","2","2","1","1","","3","2","1","7","2","",NA,NA,NA,90,NA,63,"33","2","4","",3.51666666666667,TRUE,2
2014-11-18 10:57:17,2014-11-18 11:00:59,"1","3","1","1","2","2","2","2","2","2","2","2","3","2","2","3","1","3","","2","2","1","4","3","Independent",50,NA,50,NA,NA,NA,"30","2","3","Thanks!",3.7,TRUE,1
2014-11-18 11:04:15,2014-11-18 11:06:49,"1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","1","1","","3","3","1","2","1","",NA,NA,NA,38,NA,38,"43","1","4","none",2.56666666666667,TRUE,2
2014-11-18 11:12:36,2014-11-18 11:15:12,"1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","3","1","1","","3","3","1","4","1","",NA,NA,NA,10,NA,10,"36","1","5","",2.6,TRUE,2
2014-11-18 11:07:54,2014-11-18 11:15:18,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","","3","3","1","3","1","",24,40,NA,NA,NA,NA,"24","1","4","",7.4,TRUE,1
2014-11-18 11:13:08,2014-11-18 11:16:39,"1","2","1","1","2","2","2","2","2","3","2","2","3","3","1","1","1","3","","2","2","1","5","2","",93,98,NA,NA,NA,NA,"38","2","4","",3.51666666666667,TRUE,1
2014-11-18 11:14:55,2014-11-18 11:18:13,"1","2","3","2","2","2","2","1","1","1","2","1","1","1","1","2","1","3","","3","3","3","1","2","",NA,NA,NA,50,NA,50,"49","2","3","",3.3,TRUE,2
2014-11-18 11:23:47,2014-11-18 11:26:24,"1","2","3","2","2","2","2","2","2","2","2","2","3","3","3","3","2","","2","2","2","1","7","2","",NA,NA,NA,71,NA,86,"27","2","2","",2.61666666666667,TRUE,2
2014-11-18 11:22:05,2014-11-18 11:28:21,"1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","1","","1","1","1","3","3","Independent",12,NA,50,NA,NA,NA,"26","2","4","",6.26666666666667,TRUE,1
2014-11-18 11:38:07,2014-11-18 11:40:20,"1","3","1","1","1","1","1","1","1","1","3","1","3","2","1","3","1","3","","1","1","1","5","1","",NA,NA,NA,23,NA,35,"25","2","3","",2.21666666666667,TRUE,2
2014-11-18 11:39:32,2014-11-18 11:42:19,"1","3","1","1","1","1","1","3","1","1","2","1","1","1","1","2","1","1","","1","1","1","1","3","Party of Me",NA,NA,NA,NA,0,0,"27","1","4","",2.78333333333333,TRUE,2
2014-11-18 11:58:05,2014-11-18 12:01:25,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","","2","2","1","2","3","green",NA,NA,NA,NA,5,7,"63","2","4","",3.33333333333333,TRUE,2
